I/PRP disagree/VBP that/IN in/IN twenty/CD years/NNS there/EX will/MD be/VB fewer/JJR cars/NNS in/IN use/NN than/IN there/EX are/VBP today/NN ./.

nsubj(disagree-2, I-1)
root(ROOT-0, disagree-2)
mark(cars-11, that-3)
case(years-6, in-4)
nummod(years-6, twenty-5)
nmod:in(cars-11, years-6)
expl(cars-11, there-7)
aux(cars-11, will-8)
cop(cars-11, be-9)
amod(cars-11, fewer-10)
ccomp(disagree-2, cars-11)
case(use-13, in-12)
nmod:in(cars-11, use-13)
mark(are-16, than-14)
expl(are-16, there-15)
advcl(cars-11, are-16)
nmod:tmod(are-16, today-17)

Why/WRB people/NNS use/VB car/NN ?/.

advmod(use-3, Why-1)
nsubj(use-3, people-2)
root(ROOT-0, use-3)
dobj(use-3, car-4)

Because/JJ car/NN is/VBZ useful/JJ ./.

amod(car-2, Because-1)
nsubj(useful-4, car-2)
cop(useful-4, is-3)
root(ROOT-0, useful-4)

It/PRP does/VBZ not/RB care/VB time/NN schedule/NN ,/, go/VBP somewhere/RB directly/RB ,/, and/CC can/MD carry/VB someting/VBG more/JJR than/IN other/JJ trancepotaion/NN ./.

nsubj(care-4, It-1)
nsubj(go-8, It-1)
nsubj(carry-14, It-1)
aux(care-4, does-2)
neg(care-4, not-3)
root(ROOT-0, care-4)
compound(schedule-6, time-5)
dobj(care-4, schedule-6)
conj:and(care-4, go-8)
advmod(directly-10, somewhere-9)
advmod(go-8, directly-10)
cc(care-4, and-12)
aux(carry-14, can-13)
conj:and(care-4, carry-14)
xcomp(carry-14, someting-15)
dobj(someting-15, more-16)
case(trancepotaion-19, than-17)
amod(trancepotaion-19, other-18)
nmod:than(someting-15, trancepotaion-19)

If/IN people/NNS go/VBP someplace/JJ ,/, people/NNS use/VBP some/DT trancepotation/NN ./.

mark(go-3, If-1)
nsubj(go-3, people-2)
advcl(use-7, go-3)
xcomp(go-3, someplace-4)
nsubj(use-7, people-6)
root(ROOT-0, use-7)
det(trancepotation-9, some-8)
dobj(use-7, trancepotation-9)

Usually/RB they/PRP have/VBP to/TO care/VB some/DT trancepotation/NN ``/`` s/VBZ time/NN schedule/NN ,/, but/CC if/IN they/PRP use/VBP car/NN ,/, they/PRP do/VBP not/RB care/VB it/PRP ./.

advmod(have-3, Usually-1)
nsubj(have-3, they-2)
nsubj(care-5, they-2)
root(ROOT-0, have-3)
mark(care-5, to-4)
xcomp(have-3, care-5)
det(trancepotation-7, some-6)
nsubj(schedule-11, trancepotation-7)
cop(schedule-11, s-9)
compound(schedule-11, time-10)
